vehicleNumber,name
1111,Berlin
4610,Frankfurt am Main
1112,Freie und Hansestadt Hamburg
218,Braunschweig
204,Bielefeld
233,Ulm
5504,Nürnberg
337,Stuttgart
239,Essen
1129,Kiel
4605,Würzburg
332,Augsburg
1104,Erfurt
206,Magdeburg
226,Lutherstadt Wittenberg
187,Fulda
1130,Jena
303,Dortmund
1580,Darmstadt
1504,Heidelberg
1116,Halle (Saale)
203,Cottbus/Chóśebuz
4611,Düsseldorf
4612,Montabaur
4609,Köln
176,Bremen
216,Dessau
1126,Leipzig
311,Wiesbaden
208,Bonn
1506,Kassel
1502,Karlsruhe
1105,Dresden
4607,Hannover
304,München
207,Stendal
1582,Mainz
1127,Weimar
330,Göttingen
310,Wolfsburg
5501,Regensburg
301,Freiburg im Breisgau
185,Hildesheim
5520,Westerland/Sylt
4603,Mannheim
212,Potsdam
4652,Arnhem
1584,Kaiserslautern
1106,Passau
244,Koblenz
1120,Gotha
155,Rosenheim
1114,Bamberg
1501,Eisenach
1113,Hansestadt Stralsund
1505,Marburg
1107,Pirna
119,Osnabrück
232,Frankfurt (Oder)
1109,Güstrow
234,Minden
1581,Horb am Neckar
1103,Paderborn
1101,Neustadt an der Weinstraße
202,Wuppertal
322,Solingen
328,Aachen
240,Bochum
1121,Homburg/Saar
318,Münster (Westf.)
1503,Altenbeken
5505,Memmingen
317,Recklinghausen
161,Bebra
219,Hagen
316,Siegburg
184,Bruchsal
1108,Hansestadt Wismar
228,Oldenburg (Oldb)
120,Lüneburg
5517,Hansestadt Lübeck
153,Neumünster
102,Flensburg
105,Offenbach am Main
209[7],Riesa
5511,Mühldorf a. Inn
1124,Hansestadt Rostock
1123,Hansestadt Greifswald
214,Hamm (Westf.)
1102,Neubrandenburg
223,Schwerin
4651,Amsterdam
1115,Coburg
319,Duisburg
305,Baden-Baden
1119,Meißen
178,Bremerhaven
321,Krefeld
1110,Naumburg (Saale)
334,Offenburg
336,Ingolstadt
235,Görlitz
241,Bad Hersfeld
4606,Limburg an der Lahn
173,Timmendorfer Strand
190,Ludwigshafen am Rhein
104,Mühldorf a. Inn
111,Nürnberg
112,Memmingen
115,Regensburg
302,Hansestadt Lübeck
159,Bad Oldesloe
1118,Plauen/Vogtland
221,Lübbenau/Spreewald
325,Ravensburg
109,Aschaffenburg
1125,Arnstadt
242,Quedlinburg
1583,Oberursel (Taunus)
231,Brandenburg an der Havel
1131,Trier
1122,Torgau
243,Bautzen/Budyšin
154,Heppenheim/Bergstraße
177,Basel
224,Saalfeld (Saale)
1117,Erlangen
116,Pforzheim
152,Hanau
101,Gießen
158,Gütersloh
215,Bitterfeld
108,Lichtenfels
205,Zwickau
227,Ludwigslust
1132,Wittenberge
307,Oberhausen
156,Freilassing
110,Gelsenkirchen
1159,Passau
4613,Schwäbisch Hall
313,Treuchtlingen
160,Mülheim an der Ruhr
230,Delitzsch
168,Crailsheim
180,Castrop-Rauxel
167,Rüdesheim am Rhein
1128,Reutlingen
1108,Berlin
1111,Hansestadt Wismar
113,Frankenthal/Pfalz
107,Itzehoe
114,Friedrichshafen
106,Plattling
238,Saarbrücken
217,Bergen auf Rügen
220,Meiningen
117,Hof
201,Rheinsberg
162,Geisenheim/Rheingau
107,Plattling
174,Zürich
106,Itzehoe
167,Garmisch-Partenkirchen
210,Fontanestadt Neuruppin
188,Rüdesheim am Rhein
229,Templin
1171,Oschatz
4682,Köln
1165,Bad Oeynhausen
351,Herford
1156,Waren (Müritz)
1177,Rathenow
4680,Würzburg
169,Worms
1184,Kaiserslautern
1524,Hansestadt Rostock
4612,Forbach-Lorraine
312,Montabaur
314,Bergisch Gladbach
4683,Limburg an der Lahn
1173,Halle (Saale)
1176,Coburg
1180,Darmstadt
1520,Gotha
1181,Horb am Neckar
1521,Homburg/Saar
1183,Oberursel (Taunus)
1523,Hansestadt Greifswald
1191,Salzburg
1182,Mainz
1522,Torgau
4684,Forbach-Lorraine
4685,Schwäbisch Hall
236,Jüterbog
222,Eberswalde
1160,Markt Holzkirchen
1178,Ostseebad Warnemünde
157,Landshut
1153,Ilmenau
324,Fürth
172,Mülheim an der Ruhr
5510,Wehrheim (Taunus)
326,Neunkirchen
183,Timmendorfer Strand
1172,Bamberg
213,Nauen
181,Interlaken
5517,København
1190,Wien
189,Castrop-Rauxel
160,Flensburg
335,Konstanz
182,Rüdesheim am Rhein
358,St. Ingbert
315,Singen (Hohentwiel)
188,Hildesheim
309,Aalen
323,Schaffhausen
185,Freilassing
156,Heppenheim/Bergstraße
211,Uelzen
154,Flensburg
5507,Århus
1154,Sonneberg
5518,Jever
1192,Linz
237,Neustrelitz
160,Mülheim an der Ruhr
361,Celle
1152,Travemünde
359,Leverkusen
215,Bitterfeld-Wolfen
228,Altenburg
225,Oldenburg (Oldb)
1158,Falkenberg/Elster
1161,Andernach
1157,Innsbruck
5520,Rendsburg
1162,Vaihingen an der Enz
1169,Tutzing
5505,Ostseebad Heringsdorf
1167,Traunstein
331,Westerland
352,Mönchengladbach
103,Neu-Isenburg
1163,Ostseebad Binz
360,Linz am Rhein
1151,Elsterwerda
362,Schwerte (Ruhr)
327,Siegen
1166,Bingen am Rhein
1175,Villingen-Schwenningen
1164,Rödental
1170,Prenzlau
180,Castrop-Rauxel
1168,Ellwangen
1174,Hansestadt Warburg
182,Rüdesheim
172,Aschaffenburg
104,Fulda
187,Mühldorf a. Inn
1505,Marburg/Lahn
353,Neu-Ulm
308,Murnau am Staffelsee
355,Tuttlingen
1155,Mühlhausen/Thüringen
354,Mittenwald
179,Chur
186,Chur
320,Weil am Rhein
118,Gelnhausen
177,Rendsburg
173,Basel
175,Nürnberg
4604,Brussel/Bruxelles
102,Jever
4717,Paris
333,Goslar
357,Esslingen am Neckar
331,Westerland/Sylt
363,Weilheim i. OB
1505,Marburg
1183,Oberursel (Taunus)
4601,Europa/Europe
4712,Dillingen a.d. Donau
4602,Euregio Maas-Rhein
306,Nördlingen
182,Rüdesheim am Rhein
2871,Leipziger Neuseenland
2875,Magdeburger Börde
9006,Martin Luther
2853,Nationalpark Sächsische Schweiz
2874,Oberer Neckar
9018,Freistaat Bayern
2868,Nationalpark Niedersächsisches Wattenmeer
9025,Nordrhein-Westfalen
2865,Remstal
9026,Zürichsee
9041,Baden-Württemberg
9028,Freistaat Sachsen
4114,Dresden Elbland
4117,Mecklenburgische Ostseeküste
9050,Metropole Ruhr
9457,Bundesrepublik Deutschland
4111,Gäu
9202,Schleswig-Holstein
9481,Rheinland-Pfalz
